"","symbol","date","CARD.x","DISC.x","HACK.x","INSD.x","PHYS.x","PORT.x","STAT.x","UNKN.x","IS_EFFECTIVE","MATERIAL_WEAKNESS","SIG_DEFICIENCY","IC_OP_TYPE","AUDITOR_FKEY","AUDITOR_AGREES","COMBINED_IC_OP","IC_IS_EFFECTIVE","AUDIT_FEES","NON_AUDIT_FEES","BENEFITS_FEES","IT_FEES","TAX_FEES","AUDIT_RELATED_FEES","OTHER_FEES","CARD.y","DISC.y","HACK.y","INSD.y","PHYS.y","PORT.y","STAT.y","UNKN.y","BRCH"
"59","ABM",2011,0,0,0,0,0,0,1,0,1,0,1,0,4,0,0,"1",4976000,840919,0,0,407819,145500,287600,0,0,0,0,0,0,0,0,0
"60","ABM",2011,0,0,0,0,0,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"61","ABM",2011,0,0,0,0,0,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"62","ADBE",2012,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"63","ADBE",2012,0,0,1,0,0,0,0,0,1,0,0,1,4,NA,1,"1",3438260,995115,0,0,531231,0,463884,0,0,0,0,0,0,0,0,0
"64","ADBE",2012,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,"1",3438260,995115,0,0,531231,0,463884,0,0,0,0,0,0,0,0,0
"65","ADBE",2012,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"66","ADBE",2012,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"67","ADBE",2013,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"68","ADBE",2013,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"69","ADBE",2013,0,0,1,0,0,0,0,0,1,0,0,1,4,NA,1,"1",3672650,1883020,0,0,675749,306986,900290,0,0,0,0,0,0,0,0,0
"70","ADBE",2013,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"71","ADBE",2013,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,"1",3672650,1883020,0,0,675749,306986,900290,0,0,0,0,0,0,0,0,0
"72","ADBE",2013,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"73","ADBE",2013,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"74","ADBE",2013,0,0,1,0,0,0,0,0,1,0,0,1,4,NA,1,"1",3672650,1883020,0,0,675749,306986,900290,0,0,0,0,0,0,0,0,0
"75","ADBE",2013,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"76","ADBE",2013,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,"1",3672650,1883020,0,0,675749,306986,900290,0,0,0,0,0,0,0,0,0
"77","ADP",2006,0,0,0,0,0,0,0,1,1,0,0,1,3,1,0,"1",5834000,6386000,0,0,1034000,5352000,0,0,0,0,0,0,0,0,0,0
"78","ADP",2006,0,0,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"79","ADP",2006,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,"1",5834000,6386000,0,0,1034000,5352000,0,0,0,0,0,0,0,0,0,0
"80","ADP",2006,0,0,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"81","ADP",2006,0,0,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"82","ADP",2006,0,1,0,0,0,0,0,0,1,0,0,1,3,1,0,"1",5834000,6386000,0,0,1034000,5352000,0,0,0,0,0,0,0,0,0,0
"83","ADP",2006,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"84","ADP",2006,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,"1",5834000,6386000,0,0,1034000,5352000,0,0,0,0,0,0,0,0,0,0
"85","ADP",2006,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"86","ADP",2006,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"87","ADP",2011,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"88","ADP",2011,0,0,0,0,0,1,0,0,1,0,1,0,3,0,0,"1",6664000,5624000,0,0,2276000,2179000,1169000,0,0,0,0,0,0,0,0,0
"89","ADP",2011,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"90","ADP",2011,0,0,0,0,0,1,0,0,1,0,1,1,3,1,0,"1",6664000,5624000,0,0,2276000,2179000,1169000,0,0,0,0,0,0,0,0,0
"91","ADP",2011,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"92","ADP",2013,0,0,1,0,0,0,0,0,1,0,0,1,3,1,0,"1",8148000,3567000,0,0,1541000,1784000,242000,0,0,0,0,0,0,0,0,0
"93","ADP",2013,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"94","ADP",2013,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,"1",8148000,3567000,0,0,1541000,1784000,242000,0,0,0,0,0,0,0,0,0
"95","ADP",2013,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"96","ADP",2013,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"97","AFL",2006,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"98","AFL",2006,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,"1",3855620,141154,0,0,1300,109854,30000,0,0,0,0,0,0,0,0,0
"99","AFL",2006,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"100","AFL",2006,0,0,0,0,0,1,0,0,1,0,0,1,4,1,0,"1",3855620,141154,0,0,1300,109854,30000,0,0,0,0,0,0,0,0,0
"101","AFL",2006,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"102","AFL",2006,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"103","AFL",2006,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,"1",3855620,141154,0,0,1300,109854,30000,0,0,0,0,0,0,0,0,0
"104","AFL",2006,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"105","AFL",2006,0,0,0,0,0,1,0,0,1,0,0,1,4,1,0,"1",3855620,141154,0,0,1300,109854,30000,0,0,0,0,0,0,0,0,0
"106","AFL",2006,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"107","AFL",2016,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"108","AIG",2006,0,0,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"109","AIG",2006,0,0,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"110","AIG",2006,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,"0",87700000,20000000,0,0,11600000,4200000,4200000,0,0,0,0,0,0,0,0,0
"111","AIG",2006,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,"0",87700000,20000000,0,0,11600000,4200000,4200000,0,0,0,0,0,0,0,0,0
"112","AIG",2006,0,0,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"113","AIQ",2010,0,0,0,0,0,1,0,0,1,0,0,1,3,NA,0,"1",778000,155000,0,0,10000,15000,130000,0,0,0,0,0,0,0,0,0
"114","AIQ",2010,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"115","AIQ",2010,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"116","AIQ",2010,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
