ticker,date,card,disc,hack,insd,phys,port,stat,unkn,effective_303,mat_weak_303,sig_def_303,auto_1,auditor_agrees_303,effective_404,audit_fee,non_audit_fee,tax_fees
GPS,2010,0,0,0,1,0,0,0,0,1,0,0,0,0,0,13100000,876000,370000
GPS,2010,0,0,0,1,0,0,0,0,1,0,0,1,1,1,4389000,296000,123000
GPS,2010,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4389000,296000,123000
GPS,2013,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4389000,296000,123000
GPS,2013,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4389000,296000,123000
GPS,2013,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4908000,391000,13000
GPS,2013,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4908000,391000,13000
GPS,2013,0,1,0,0,0,0,0,0,1,0,0,1,1,1,4908000,391000,13000
GRPN,2012,0,1,0,0,0,0,0,0,1,0,1,1,0,1,7773490,1624990,1621000
GRPN,2012,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7773490,1624990,1621000
GRPN,2012,0,1,0,0,0,0,0,0,1,0,1,0,0,1,7773490,1624990,1621000
GRPN,2012,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7773490,1624990,1621000
GRPN,2012,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7773490,1624990,1621000
GS,2013,0,1,0,0,0,0,0,0,1,0,0,0,0,0,13100000,876000,370000
GS,2013,0,1,0,0,0,0,0,0,1,0,0,0,0,1,59800000,9800000,2200000
GS,2013,0,1,0,0,0,0,0,0,1,0,0,1,0,1,59800000,9800000,2200000
GS,2013,0,1,0,0,0,0,0,0,1,0,0,0,0,0,59800000,9800000,2200000
GS,2013,0,1,0,0,0,0,0,0,1,0,0,0,0,0,59800000,9800000,2200000
GS,2013,0,1,0,0,0,0,0,0,1,0,0,0,0,1,59800000,9800000,2200000
GS,2013,0,1,0,0,0,0,0,0,1,0,0,0,0,0,59800000,9800000,2200000
GS,2013,0,1,0,0,0,0,0,0,1,0,0,0,0,1,59800000,9800000,2200000
